aid,name,website,createdOn,parent_org,segment,account_manager,cs_client_id,int_type
OSPGAKV4Nr,Moberly Monitor Index,www.moberlymonitor.com/,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
vFlVHHHY9g,Sturgis Journal,www.sturgisjournal.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
euFbM9LHvo,Northwest Florida Daily News,www.nwfdailynews.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
pOTaUThqt3,The Oak Ridger,www.oakridger.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
FbygckNZIG,Ocala Star Banner,www.ocala.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
KO40B02O8h,The Olney Daily Mail,www.olneydailymail.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
PPuKBEJM2H,Panama City News Herald,www.newsherald.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
MwJQj3ILRH,Pekin Daily Times,www.pekintimes.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
Wf0dHSCVZq,Pine Bluff Commercial,www.pbcommercial.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
Kr0gfFzTcX,Pontiac Daily Leader,www.pontiacdailyleader.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
BRxjxO3zYH,Grand Lake News,www.grandlakenews.com/,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
mqPNFJzmgK,Sault Ste Marie The Sault News,www.sooeveningnews.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
lm3S6tjB3v,Shelby Star,www.shelbystar.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
8GlAm6Jzx3,Siskiyou Daily News,www.siskiyoudaily.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
4OGmtvd8fA,Southwest Times Record,www.swtimes.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
MWmKlwwKAu,Spartanburg Herald-Journal,www.goupstate.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
u7KTBq4MV0,Kewanee Star Courier,www.starcourier.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
NDIKI4GKjL,Stuttgart Daily Leader,www.stuttgartdailyleader.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
PEmPwiV5hR,New Bern Sun Journal,www.newbernsj.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
oE2keIoTBa,Norwich Bulletin,www.norwichbulletin.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
Sd3ZilgKjO,Asheboro Courier-Tribune,www.courier-tribune.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
VcdedKVFwv,The Daily Ardmoreite,www.ardmoreite.com/,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
UdxU536vyi,Jacksonville Daily News,www.jdnews.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
3xTFZElLju,Coldwater Daily Reporter,www.thedailyreporter.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
LQNMwEVBJh,The Siftings Herald,www.siftingsherald.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
MjpK0Y75KD,Daily Telegram,www.lenconnect.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
DgVOcpgpKg,Daytona Beach News-Journal,www.news-journalonline.com,2016-10-17,Gatehouse,Elite,Dana Venino,68331587,1
bLFC1c5lTd,Lexington Dispatch,www.the-dispatch.com,2016-10-20,Gatehouse,Elite,Dana Venino,68331587,1
jXqAWZPnMt,Brockton Enterprise,www.enterpeisenews.com,2016-10-20,Gatehouse,Elite,Dana Venino,68331587,1
